nome,discurso,ano
O SR. PRESIDENTE (Jorge Arbage,"O SR. PRESIDENTE (Jorge Arbage): – A lista de presença registra o comparecimento de 207 Senhores Constituintes. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro, iniciamos nossos trabalhos. O Sr. Secretário procederá à leitura da ata da sessão anterior. II – LEITURA DA ATA ",ano_171
O SR. ANTÔNIO DE,"O SR. ANTÔNIO DE JESUS, servindo como 2º Secretário, procede à leitura da ata da sessão antecedente, a qual é, sem observações, assinada. O SR. PRESIDENTE (Jorge Arbage): – Passa-se à leitura do expediente. ",ano_171
O SR. PRESIDENTE (Jorge Arbage,"O SR. ANTÔNIO DE JESUS, servindo como 2º Secretário, procede à leitura da ata da sessão antecedente, a qual é, sem observações, assinada. O SR. PRESIDENTE (Jorge Arbage): – Passa-se à leitura do expediente. ",ano_171
O SR. MÁRIO MAIA,"O SR. MÁRIO MAIA, 2º Secretário, servindo como 1º Secretário, procede à leitura do seguinte: III – EXPEDIENTE REQUERIMENTOS Do Sr. Constituinte Bernardo Cabral, Relator, nos seguintes termos: Brasília, 22 de janeiro de 1988 Excelentíssimo Senhor Deputado Ulysses Guimarães Digníssimo Presidente da Assembléia Nacional Constituinte NESTA Senhor Presidente, Ao encerrar-se o trabalho de revisão do conteúdo dos Pareceres apresentados às Emendas individuais dos Senhores Constituintes ao Projeto de Constituição, foi verificada a existência de novas Emendas cujo parecer deve ser objeto de revisão, em virtude de erro material: As emendas nº 2P00726-1, 2P00749- 0, 2P01260-4, 2P01350-3, 2P01455-1, 2P01493-3, 2P01970-6 e 2P01976-5, que figuram como tendo recebido parecer pela aprovação, na verdade o tiveram pela rejeição. A de nº 2P01564-6 é uma Emenda que constou com o parecer contrário mas na verdade recebeu parecer favorável. Assim sendo, solicito a Vossa Excelência a devida correção quando da publicação final do Parecer. – Atenciosamente – Bernardo Cabral, Relator. Do Sr. Constituinte Bernardo Cabral, Relator, nos seguintes termos: Brasília, 25 de janeiro de 1988 Exmº Sr. Constituinte Ulysses Guimarães M.D. Presidente da Assembléia Nacional Constituinte NESTA Senhor Presidente, Volto à presença de V. Ex.ª para solicitar suas obsequiosas providências no sentido de determinar a correção de dois erros materiais constantes do parecer que ofereci às Emendas apresentadas em Plenário ao Projeto de Constituição aprovado pela Comissão de Sistematização pelos Senhores Constituintes. 1. A emenda 2P01043-1 de autoria do Constituinte Koyu lha, que figura como rejeitada, deve figurar como aprovada. De fato, o texto do art. 126, inciso I, alínea ""d"", na expressão ""do Superior Tribunal de Justiça"", se contrapõe ao texto do art. 129, inciso, I alínea ""b"", no que toca a expressão ""do próprio Tribunal"". O sistema do Projeto é o do próprio Tribunal julgar mandado de segurança contra ato seu. Pelo Projeto, da decisão do Tribunal, julgando mandado de segurança contra ato seu, cabe re- curso ordinário (art. 26, II, ""a"", por exemplo). Exclusivamente por erro material a Emenda 2P01043-1 constou como rejeitada. O Parecer contudo é pela aprovação. 2. No que toca à Emenda 2P01007-5, de autoria do Constituinte Paulo Pimentel, o parecer é contrário, de acordo com aquele oferecido à Emenda 2P013384 de autoria do Constituinte Messias Góis. Erro material conduziu a essa contradição, uma vez que as duas emendas são idênticas. Assim, as Emendas 2P01007-5 e 2P013384 mereceram parecer pela rejeição. Valho-me da oportunidade para reiterar a V. Ex.ª meus protestos de estima e consideração. Atenciosamente, – Bernardo Cabral. Do Sr. Constituinte Bernardo Cabral, Relator, nos seguintes termos: OF. Nº 0008/88 Brasília, 25 de janeiro de 1988 Senhor Presidente, Quando da revisão do conteúdo dos Pareceres exarados às Emendas Coletivas, apresentadas ao Projeto de Constituição, foi detectado um erro gráfico à página 24, referente à Emenda Coletiva de nº 2P02045- 3, que modifica o Ato das Disposições Constitucionais Gerais e Transitórias. Assim, na relação dos dispositivos para os quais o Parecer recomenda aprovação, consta ""Art. 44 caput e seu parágrafo único"" e na relação dos dispositivos para os quais o Parecer recomenda a rejeição, consta "" Art. 44 caput. Esta aparente contradição resultou de um erro datilográfico, uma vez que o Art. 44 da citada Emenda nº 2P02045-3, não tem parágrafo único; tem parágrafo único, o Art. 46. Desse modo, onde se lê ""Art. 44 caput e seu parágrafo único"", na relação dos dispositivos que o Parecer recomenda a aprovação, alia-se ""Art. 46 caput e seu parágrafo único"". A referência ao Art. 44 permanece na relação dos dispositivos que o Parecer recomenda rejeição. Pelo exposto venho solicitar de Vossa Excelência o acolhimento e a publicação da presente retificação. Sendo o que tinha a tratar no momento subscrevo-me. Atenciosamente, – Bernardo Cabral. Do Sr. Constituinte Adroaldo Streck, nos seguintes termos: Brasília, 25 de janeiro de 1988 Senhor Presidente, Solicito de Vossa Excelência seja determinada a retificação, para todos os efeitos, do texto da minha Emenda nº 2P00330-3, tendo em vista que, por erro datilográfico, foi omitida a palavra ""e papel"". O texto correto da proposta é o seguinte: ""Art. 178, II, letra d – livros, jornais e periódicos, inclusive insumos e papel destinados à sua impressão."" Certo de que Vossa Excelência tomará as providências cabíveis, apresento meus protestos de apreço e consideração. Do Sr. Constituinte Lysâneas Maciel, nos seguintes termos: Brasília, 25 de janeiro de 1988 Exmº Sr. Constituinte Ulysses Guimarães DD. Presidente da ANC N/C Senhor Presidente, Solicito a V. Ex.ª que autorize a inscrição como co-autores da Emenda nº 2P01879-3 de minha autoria, dos Constituintes Luiz Inácio Lula da Silva – PT/SP e Brandão Monteiro – PDT/RJ. Na certeza de sua atenção, renovo os meus protestos de estima e consideração, subscrevendo-me; Atenciosamente, – Lysâneas Maciel – Brandão Monteiro – Luiz Inácio Lula da Silva. Do Sr. Constituinte Paes Landim, nos seguintes termos: Brasília, 26 de janeiro de 1988 Exmº Sr. Constituinte Ulysses Guimarães MD. Presidente da Assembléia Nacional Constituinte Nesta Senhor Presidente, Solicito a V. Ex.ª o especial obséquio em determinar a retirada do destaque de nº D01326, de minha autoria, para que não haja a sua repetição, em virtude da apresentação de requerimento de Destaque da mesma Emenda pelo Deputado João Alves. Atenciosamente, – Paes Landim. PROJETO DE RESOLUÇÃO Nº 22, de 1988 (ANC) (Do Sr. Maurício Fruet) Dispõe sobre a freqüência e perda do mandato de Constituinte. (À Mesa) Faço saber que a Assembléia Nacional Constituinte aprovou e eu promulgo a seguinte Resolução: Art. 1º Será descontado um trinta avos do subsídio do Constituinte ausente às Sessões Plenárias da Assembléia Nacional Constituinte. Art. 2º Sem prejuízo do disposto no artigo anterior, perderá o mandato o Deputado ou Senador que faltar, sem justa causa, a três Sessões Plenárias consecutivas ou a cinco sessões interpoladas. § 1º Verificadas as faltas nos termos deste artigo, a Mesa da Assembléia Nacional Constituinte, de ofício, ou a requerimento de partido político nela representado ou de qualquer Constituinte, declarará extinto o mandato do faltante. § 2º Caso a Mesa não cumpra o disposto no parágrafo anterior, qualquer Constituinte ou partido político recorrerá ao Plenário que decidirá, em Sessão Extraordinária, dentro de setenta e duas horas. § 3º Da decisão da Mesa pela extinção do mandato, caberá recurso para o Justificação O povo elegeu os Constituintes para elaborar a Carta Magna do País, o que pressupõe a presença efetiva do parlamentar às sessões e atividades necessárias ao exercício da missão constitucional. Na medida em que vem verificando falta de quorum em grande número de sessões, é perceptível a decepção e o descrédito do povo em relação aos trabalhos da Constituinte e aos membros da Assembléia. Em defesa do conceito da Constituinte e da agilização de seus trabalhos, impõe-se criar meios para sancionar os Constituintes reiteradamente faltosos, que deixam de cumprir suas obrigações de assiduidade parlamentar, preferindo tratar de seus interesses particulares e de suas atividades político-eleitorais. Sala das Sessões. – Maurício Fruet, Constituinte. ",ano_171
O SR. PRESIDENTE (Jorge Arbage,O SR. PRESIDENTE (Jorge Arbage): – Está finda a leitura do expediente. Passa-se ao: IV – PEQUENO EXPEDIENTE Tem a palavra o Sr. Constituinte Cardoso Alves. ,ano_171
O SR. CARDOSO ALVES,"O SR. CARDOSO ALVES (PMDB – SP. Sem revisão do orador.): – Sr. Presidente, Srs. Constituintes: Inicia-se amanhã o período de votação da matéria constitucional até agora em exame na Casa. Muito se tem falado numa Constituição de entendimento, numa Constituição que congregue a todos os Deputados e Senadores no esforço de se conseguir a média do pensamento dos Srs. Constituintes. Muito se tem falado que a Constituição não deve refletir o pensamento dos vencedores sobre os vencidos. Muito se tem falado no sentido de que a Maioria deve sempre respeitar a Minoria e procurar com ela um acordo, procurar com ela celebrar uma convenção em torno da matéria a ser votada. Também assim entendo, Sr. Presidente. Não pode haver uma Constituição de batalha, de guerra, de luta, e sim uma Constituição que procure, na realidade, dar condições de solução aos problemas brasileiros, uma Constituição que reflita o gênio e a alma nacional, que reflita os anseios e as esperanças do povo brasileiro, que traduza as suas amarguras, que procure horizontes novos e promissores para o nosso povo, que procure desenvolver o País com liberdade, que procure humanizar as relações de trabalho dignificando o trabalhador e humanizando e modernizando a empresa, fazendo com que os senhores das empresas compreendam que sem a força do trabalho elas nada representam, senão máquinas paradas; que são os trabalhadores homens que, pela dignidade de seu trabalho, fazem com que as máquinas produzam. Enfim, uma Constituição que possa garantir à família brasileira o emprego de seu chefe, e a ele todas as condições necessárias para uma vida digna, humanamente respeitável. Uma Constituição que garanta a absorção das grandes massas marginalizadas existentes em nosso País, para que elas possam passar a desfrutar do convívio de que o Estado moderno e uma sociedade solidária estão no dever de garantir a todos. Uma Constituição que garanta a permanência, aqui, do capital estrangeiro, obviamente sujeito a regras e a leis nacionais que o submetam ao interesse público, sem, contudo, impedir condições que o atraiam para cá, uma vez que não temos capitais e riquezas na medida demandada pelo nosso desenvolvimento. Uma Constituição que garanta a presença do Brasil no universo, não como um corpo autárquico ou uma ilha incomunicável, mas como um povo presente no desenvolvimento da vida de toda a Humanidade. Uma Constituição que garanta, Sr. Presidente, finalmente, que o cidadão brasileiro sinta-se com uma alma de rei, como lembra Paul Berge no Démon de Midi, uma Constituição de um país onde não haja súditos, mas somente haja cidadãos. Sr. Presidente, para que isso ocorra é preciso que se comece, desde logo, a criar, neste plenário, nesta Casa e fora dela, um ambiente de acordo, um ambiente de entendimento, um ambiente de conversas, um ambiente de troca de impressões, um ambiente em que cada um se disponha a convencer seu companheiro de sua tese e que encontre no companheiro uma voz aberta, uma consciência aberta para esse entendimento. Quem quer flores, Sr. Presidente, planta um jardim; quem quer frutos, planta um pomar, quem quer tempestades, planta ventos. Francamente, Sr. Presidente, não tenho sentido até agora, na Casa, um ambiente propício ao entendimento. Não tenho sentido a elaboração de um nicho capaz de nos agasalhar na luta por esse entendimento. Faço, também, um apelo às Lideranças: a Constituinte é livre e é soberana; soberania é o poder de decidir em última instância. O soberano não tem líder, ou deixa de ser soberano, e a soberania da Constituinte nasce do somatório da soberania de cada um dos Constituintes em matéria constitucional. A liderança é o poder de conduzir, é o poder de orientar, é o poder de disciplinar uma Bancada para obter o voto. Ora, Sr. Presidente, a Constituinte não deve ter líderes neste sentido. Os seus líderes devem ser coordenadores da Bancada, informadores dos Companheiros; devem avisá-los da importância das matérias que serão examinadas, fazer chegar a desinformações que busquem formar a convicção de cada uma agenda dos trabalhos; devem procurar facilitar, como coordenadores, os seus companheiros. Não devem procurar atirar sobre eles a força da Bancada; não devem procurar atirar sobre eles a força dos diretórios partidários, tampouco das convenções partidárias. A Constituição garante a liberdade e a soberania da Constituinte. E elas só poderão operar num ambiente em que os líderes sejam coordenadores, em que os Constituintes sejam interlocutores, e a Câmara dos Deputados, que é o local onde se reúne a Assembléia Nacional Constituinte, seja um nicho de solidariedade, de entendimento, de conversações de alma aberta, de coração franco e de espírito totalmente disposto a se obter esses entendimentos em favor de uma Constituinte que reflita, realmente, a fisionomia e a alma da nossa Nação brasileira. (Palmas.) ",ano_171
O SR. SÓLON BORGES,O SR. SÓLON BORGES DOS REIS: ,ano_171
O SR. PRESIDENTE (Jorge Arbage,"O SR. PRESIDENTE (Jorge Arbage): – V. Ex.ª tem a palavra, pela ordem. ",ano_171
O SR. SÓLON BORGES,"O SR. SÓLON BORGES DOS REIS (PTB – SP. Pela ordem. Sem revisão do orador.): – Sr. Presidente, indago-me e indago de V. Ex.ª qual o significado da assinatura dos Parlamentares nas emendas coletivas para que possam tramitar nos pedidos de destaques e nos pedidos de preferência? Gostaria de saber se subscrever tais proposituras implica responsabilidade regimental, ou se apenas quer dizer que queremos ver discutido ou colocado o tema. Em qualquer hipótese, há sempre uma conotação de solidariedade quando se subscreve uma propositura. Sou surpreendido, Sr, Presidente, com a minha assinatura numa emenda que figura na folha nº 807 do Projeto de Constituição. Emendas Oferecidas em Plenário, Volume II, uma emenda com 288 signatários, que tornou o nº 2P02044-0, apresentada em plenário, emenda substitutiva, dispositivo emendado: Titulo VIII. Fui convidado e recebi apelos de numerosos Parlamentares para subscrever essa emenda. Resisti ao apelo afetivo de muitos amigos, os mais chegados nesta Casa, do meu próprio Líder de Bancada, que me pediu a assinatura para essa emenda. Não pude assinar, Sr. Presidente, porque ela substituía, no Título Da Ordem Social, Titulo VIII, por inteiro, o que decidiu a Subcomissão da Educação, Cultura e Esportes, onde atuei em plena harmonia com os Companheiros de todas as Bancadas e onde tive uma atuação que mereceu, na aprovação das emendas que ofereci, um êxito que considero de interesse do ensino e do povo brasileiro. Ora, como poderia querer substituir em plenário aquele Capítulo Da Educação, Da Cultura e Do Desporto pelo qual lutei e para cuja aprovação contribuí grandemente na Subcomissão, e que sustentei a todo preço na Comissão Temática? Seria uma contradição. Por isso, Sr. Presidente, deixo claro que não sou signatário dessa emenda, embora apareça aqui o meu nome, e que votarei contra o Capítulo Da Educação, Da Cultura e Do Desporto, que pretende substituir a conquista da Subcomissão competente. É com a Subcomissão que fico e não vejo motivo para sair do que decidi na Subcomissão, na Comissão Temática e na própria Comissão de Sistematização, como Suplente que fui. Assim, deixo claro que não sou signatário e atribuo a um equívoco de quem organizou essa lista a inclusão, indevidamente, do meu nome. Não assinei essa emenda de 288 assinaturas que pretende substituir na Ordem Social o Capítulo Da Educação, Da Cultura e Do Desporto, em boa hora aprovado pela Subcomissão. ",ano_171
O SR. PRESIDENTE (Jorge Arbage,"O SR. PRESIDENTE (Jorge Arbage): – A Mesa anota a questão de ordem de V. Ex.ª para as providências cabíveis, na devida oportunidade. ",ano_171
